Time, X, Y, Z, errorZ, 
5.01667,0.00833333,0,9.98904,0.0109612,29.4296
5.03333,0.0274993,0,9.98907,0.0109307,29.4293
5.05,0.0524093,0,9.9891,0.0109004,29.4296
5.06667,0.0835316,0,9.98913,0.0108702,29.4294
5.08333,0.120478,0,9.98916,0.0108402,29.4296
5.1,0.163003,0,9.98919,0.0108102,29.4295
5.11667,0.210853,0,9.98922,0.0107804,29.4296
5.13333,0.263783,0,9.98925,0.0107508,29.4296
5.15,0.321557,0,9.98928,0.0107212,29.4296
5.16667,0.383949,0,9.98931,0.0106917,29.4296
5.18333,0.450738,0,9.98934,0.0106624,29.4296
5.2,0.521714,0,9.98937,0.0106331,29.4296
5.21667,0.596673,0,9.9894,0.010604,29.4297
5.23333,0.675417,0,9.98943,0.0105749,29.4297
5.25,0.757758,0,9.98945,0.0105459,29.4297
5.26667,0.843511,0,9.98948,0.010517,29.4297
5.28333,0.932501,0,9.98951,0.0104882,29.4297
5.3,1.02456,0,9.98954,0.0104595,29.4297
5.31667,1.11952,0,9.98957,0.0104309,29.4297
5.33333,1.21722,0,9.9896,0.0104023,29.4297
5.35,1.31751,0,9.98963,0.0103738,29.4297
5.36667,1.42026,0,9.98965,0.0103454,29.4297
5.38333,1.5253,0,9.98968,0.0103171,29.4297
5.4,1.63251,0,9.98971,0.0102888,29.4297
5.41667,1.74177,0,9.98974,0.0102606,29.4297
5.43333,1.85293,0,9.98977,0.0102325,29.4298
5.45,1.96588,0,9.9898,0.0102044,29.4298
5.46667,2.0805,0,9.98982,0.0101764,29.4298
5.48333,2.19668,0,9.98985,0.0101485,29.4298
5.5,2.31431,0,9.98988,0.0101206,29.4298
5.51667,2.43329,0,9.98991,0.0100928,29.4298
5.53333,2.55352,0,9.98993,0.0100651,29.4298
5.55,2.67489,0,9.98996,0.0100374,29.4298
5.56667,2.79732,0,9.98999,0.0100098,29.4298
5.58333,2.92072,0,9.99002,0.00998231,29.4298
5.6,3.045,0,9.99005,0.00995483,29.4298
5.61667,3.17008,0,9.99007,0.00992742,29.4298
5.63333,3.29588,0,9.9901,0.00990008,29.4298
5.65,3.42232,0,9.99013,0.00987279,29.4298
5.66667,3.54933,0,9.99015,0.00984558,29.4298
5.68333,3.67685,0,9.99018,0.00981842,29.4298
5.7,3.80479,0,9.99021,0.00979133,29.4298
5.71667,3.93311,0,9.99024,0.0097643,29.4298
5.73333,4.06173,0,9.99026,0.00973733,29.4298
5.75,4.1906,0,9.99029,0.00971043,29.4298
5.76667,4.31965,0,9.99032,0.00968359,29.4298
5.78333,4.44884,0,9.99034,0.00965681,29.4298
5.8,4.57812,0,9.99037,0.0096301,29.4298
5.81667,4.70742,0,9.9904,0.00960345,29.4298
5.83333,4.83671,0,9.99042,0.00957686,29.4298
5.85,4.96594,0,9.99045,0.00955034,29.4298
5.86667,5.09506,0,9.99048,0.00952388,29.4298
5.88333,5.22403,0,9.9905,0.00949749,29.4298
5.9,5.35282,0,9.99053,0.00947116,29.4298
5.91667,5.48137,0,9.99056,0.00944489,29.4298
5.93333,5.60966,0,9.99058,0.00941869,29.4298
5.95,5.73766,0,9.99061,0.00939255,29.4298
5.96667,5.86532,0,9.99063,0.00936648,29.4298
5.98333,5.99261,0,9.99066,0.00934047,29.4298
6,6.11951,0,9.99069,0.00931453,29.4298
6.01667,6.24599,0,9.99071,0.00928865,29.4298
6.03333,6.37201,0,9.99074,0.00926283,29.4298
6.05,6.49756,0,9.99076,0.00923708,29.4298
6.06667,6.6226,0,9.99079,0.0092114,29.4298
6.08333,6.74712,0,9.99081,0.00918578,29.4298
6.1,6.87109,0,9.99084,0.00916023,29.4298
6.11667,6.99448,0,9.99087,0.00913474,29.4298
6.13333,7.11729,0,9.99089,0.00910932,29.4298
6.15,7.23948,0,9.99092,0.00908396,29.4298
6.16667,7.36105,0,9.99094,0.00905866,29.4298
6.18333,7.48197,0,9.99097,0.00903344,29.4298
6.2,7.60222,0,9.99099,0.00900827,29.4298
6.21667,7.7218,0,9.99102,0.00898318,29.4298
6.23333,7.84069,0,9.99104,0.00895815,29.4298
6.25,7.95888,0,9.99107,0.00893318,29.4298
6.26667,8.07634,0,9.99109,0.00890828,29.4298
6.28333,8.19308,0,9.99112,0.00888345,29.4298
6.3,8.30908,0,9.99114,0.00885868,29.4298
6.31667,8.42432,0,9.99117,0.00883397,29.4298
6.33333,8.5388,0,9.99119,0.00880934,29.4298
6.35,8.65252,0,9.99122,0.00878476,29.4298
6.36667,8.76545,0,9.99124,0.00876026,29.4298
6.38333,8.8776,0,9.99126,0.00873581,29.4298
6.4,8.98896,0,9.99129,0.00871144,29.4298
6.41667,9.09952,0,9.99131,0.00868713,29.4298
6.43333,9.20927,0,9.99134,0.00866288,29.4298
6.45,9.31821,0,9.99136,0.0086387,29.4298
6.46667,9.42634,0,9.99139,0.00861458,29.4298
6.48333,9.53365,0,9.99141,0.00859053,29.4298
6.5,9.64013,0,9.99143,0.00856655,29.4298
6.51667,9.74579,0,9.99146,0.00854263,29.4298
6.53333,9.85061,0,9.99148,0.00851877,29.4298
6.55,9.95461,0,9.99151,0.00849498,29.4298
6.56667,10.0578,0,9.99153,0.00847125,29.4298
6.58333,10.1601,0,9.99155,0.00844759,29.4298
6.6,10.2616,0,9.99158,0.00842399,29.4298
6.61667,10.3622,0,9.9916,0.00840046,29.4298
6.63333,10.462,0,9.99162,0.00837699,29.4298
6.65,10.561,0,9.99165,0.00835359,29.4298
6.66667,10.6591,0,9.99167,0.00833025,29.4298
6.68333,10.7564,0,9.99169,0.00830697,29.4298
6.7,10.8529,0,9.99172,0.00828376,29.4298
6.71667,10.9485,0,9.99174,0.00826061,29.4298
6.73333,11.0433,0,9.99176,0.00823753,29.4298
6.75,11.1372,0,9.99179,0.00821451,29.4298
6.76667,11.2303,0,9.99181,0.00819155,29.4298
6.78333,11.3226,0,9.99183,0.00816865,29.4298
6.8,11.414,0,9.99185,0.00814582,29.4298
6.81667,11.5046,0,9.99188,0.00812305,29.4298
6.83333,11.5944,0,9.9919,0.00810035,29.4298
6.85,11.6834,0,9.99192,0.0080777,29.4298
6.86667,11.7716,0,9.99194,0.00805512,29.4298
6.88333,11.8589,0,9.99197,0.00803261,29.4298
6.9,11.9454,0,9.99199,0.00801015,29.4298
6.91667,12.0311,0,9.99201,0.00798776,29.4298
6.93333,12.116,0,9.99203,0.00796543,29.4298
6.95,12.2001,0,9.99206,0.00794316,29.4298
6.96667,12.2834,0,9.99208,0.00792095,29.4298
6.98333,12.366,0,9.9921,0.0078988,29.4298
7,12.4477,0,9.99212,0.00787672,29.4298
7.01667,12.5286,0,9.99215,0.0078547,29.4298
7.03333,12.6088,0,9.99217,0.00783274,29.4298
7.05,12.6881,0,9.99219,0.00781084,29.4298
7.06667,12.7667,0,9.99221,0.007789,29.4298
7.08333,12.8446,0,9.99223,0.00776722,29.4298
7.1,12.9216,0,9.99225,0.0077455,29.4298
7.11667,12.998,0,9.99228,0.00772384,29.4298
7.13333,13.0735,0,9.9923,0.00770224,29.4298
7.15,13.1483,0,9.99232,0.00768071,29.4298
7.16667,13.2224,0,9.99234,0.00765923,29.4298
7.18333,13.2957,0,9.99236,0.00763781,29.4298
7.2,13.3683,0,9.99238,0.00761645,29.4298
7.21667,13.4401,0,9.9924,0.00759516,29.4298
7.23333,13.5113,0,9.99243,0.00757392,29.4298
7.25,13.5817,0,9.99245,0.00755274,29.4298
